53	537
-771	-7703
-114	-1133
513	5137
-303	-3023
485	4857
-729	-7283
-382	-3813
-611	-6103
508	5087
-775	-7743
950	9507
969	9697
-884	-8833
-958	-9573
-912	-9113
170	1707
-587	-5863
614	6147
-910	-9093
-680	-6793
-343	-3423
-5	-43
-56	-553
167	1677
-757	-7563
-510	-5093
917	9177
-912	-9113
242	2427
975	9757
100	1007
272	2727
553	5537
909	9097
659	6597
-617	-6163
536	5367
-642	-6413
499	4997
-831	-8303
984	9847
-218	-2173
506	5067
339	3397
879	8797
282	2827
-331	-3303
125	1257
-691	-6903
-505	-5043
338	3387
250	2507
320	3207
932	9327
591	5917
-39	-383
-392	-3913
-94	-933
-335	-3343
-805	-8043
-316	-3153
-399	-3983
626	6267
819	8197
287	2877
410	4107
-451	-4503
616	6167
-594	-5933
-628	-6273
994	9947
-872	-8713
-275	-2743
903	9037
730	7307
-534	-5333
-41	-403
-305	-3043
-105	-1043
-678	-6773
572	5727
-413	-4123
-488	-4873
-385	-3843
401	4017
336	3367
652	6527
-432	-4313
700	7007
624	6247
836	8367
-82	-813
529	5297
1000	10007
816	8167
-937	-9363
-404	-4033
683	6837
303	3037
-750	-7493
18	187
702	7027
62	627
-43	-423
797	7977
398	3987
-326	-3253
863	8637
774	7747
-29	-283
-508	-5073
-818	-8173
590	5907
307	3077
-308	-3073
-801	-8003
569	5697
-555	-5543
-919	-9183
648	6487
939	9397
956	9567
248	2487
-580	-5793
405	4057
752	7527
370	3707
-346	-3453
-338	-3373
-224	-2233
-321	-3203
-261	-2603
726	7267
91	917
191	1917
-427	-4263
-117	-1163
933	9337
-978	-9773
326	3267
-968	-9673
807	8077
-442	-4413
945	9457
362	3627
70	707
182	1827
-100	-993
8	87
-524	-5233
-705	-7043
-405	-4043
695	6957
82	827
580	5807
-204	-2033
-196	-1953
855	8557
-476	-4753
-344	-3433
101	1017
971	9717
-82	-813
-201	-2003
266	2667
-135	-1343
877	8777
982	9827
-452	-4513
624	6247
-856	-8553
-251	-2503
-764	-7633
487	4877
264	2647
-435	-4343
-255	-2543
-814	-8133
678	6787
-594	-5933
-383	-3823
503	5037
483	4837
-771	-7703
-384	-3833
-310	-3093
-324	-3233
-561	-5603
-650	-6493
264	2647
530	5307
112	1127
225	2257
-195	-1943
-279	-2783
810	8107
760	7607
458	4587
412	4127
-438	-4373
638	6387
808	8087
958	9587
-101	-1003
344	3447
-837	-8363
-501	-5003
-909	-9083
552	5527
-375	-3743
-265	-2643
786	7867
-275	-2743
-143	-1423
-240	-2393
-398	-3973
-464	-4633
78	787
-901	-9003
441	4417
251	2517
827	8277
-751	-7503
316	3167
701	7017
40	407
-914	-9133
522	5227
-210	-2093
-394	-3933
661	6617
-633	-6323
449	4497
729	7297
-753	-7523
837	8377
451	4517
-36	-353
-896	-8953
722	7227
-603	-6023
734	7347
1000	10007
-981	-9803
-130	-1293
-462	-4613
754	7547
331	3317
576	5767
-361	-3603
470	4707
-404	-4033
-230	-2293
-686	-6853
-274	-2733
321	3217
-425	-4243
308	3087
-478	-4773
-668	-6673
829	8297
303	3037
382	3827
-698	-6973
880	8807
-475	-4743
251	2517
206	2067
-68	-673
679	6797
1000	10007
-759	-7583
-793	-7923
-915	-9143
706	7067
829	8297
-927	-9263
735	7357
389	3897
-478	-4773
286	2867
-106	-1053
-775	-7743
611	6117
885	8857
475	4757
14	147
-106	-1053
289	2897
-109	-1083
-276	-2753
-639	-6383
288	2887
-502	-5013
-49	-483
-671	-6703
-417	-4163
-170	-1693
461	4617
-219	-2183
258	2587
-786	-7853
257	2577
934	9347
789	7897
-166	-1653
-590	-5893
-653	-6523
411	4117
108	1087
-942	-9413
309	3097
997	9977
-31	-303
158	1587
709	7097
687	6877
720	7207
951	9517
-145	-1443
477	4777
181	1817
-787	-7863
415	4157
-568	-5673
211	2117
266	2667
