2	1	-8	16
7	9	-2	28
-2	8	-10	17
8	9	-10	38
7	-10	9	-2
-1	0	-5	6
0	-8	-4	-1
8	-10	-4	13
-8	-2	-4	-11
-3	0	7	-10
0	0	1	2
8	8	4	23
-4	-2	-4	-3
6	-4	5	6
-10	4	-9	-4
-4	9	-3	7
-8	-8	-2	-19
4	6	-2	19
8	-8	3	8
6	10	-8	33
7	8	4	21
5	5	-8	26
4	0	-2	13
-6	-2	-7	-4
-8	-1	-1	-13
3	7	2	14
-4	4	9	-10
-9	-10	9	-34
-1	-8	-1	-6
6	7	8	14
3	-1	-3	11
4	-8	9	-6
-10	1	5	-21
-6	-3	6	-18
0	-2	3	-2
4	8	-1	20
4	7	0	18
-8	-3	-2	-14
8	4	-7	30
6	9	10	14
-3	-3	-3	-3
9	5	-6	32
-6	0	7	-16
-5	7	9	-9
-5	-4	10	-21
1	0	-6	11
-9	2	-1	-12
-8	-9	1	-23
3	2	-3	14
3	-7	-1	3
7	1	1	17
-5	8	1	0
-4	10	-6	11
-7	-10	-7	-14
0	7	-4	14
9	-9	-1	13
-1	1	10	-8
9	-8	7	6
1	6	1	10
9	9	-4	34
-3	7	-10	14
3	-3	-3	9
-5	-8	-1	-14
-7	3	-7	-1
6	1	2	14
-9	-9	-5	-19
1	4	0	9
-1	-1	-10	10
-4	6	1	0
-5	-3	-6	-4
3	-4	-1	6
-6	1	10	-18
-4	0	8	-13
10	3	9	17
-1	9	-6	16
7	9	7	19
-3	0	-3	0
5	5	10	8
0	7	-3	13
-3	-10	-10	-3
-10	-10	8	-35
0	-9	4	-10
9	5	10	16
3	-1	3	5
3	9	2	16
-8	3	8	-18
4	-3	8	0
-6	-6	6	-21
6	-8	8	-1
-6	-2	0	-11
-3	-2	6	-11
-7	-9	8	-28
-10	5	9	-21
7	2	-5	24
-8	6	6	-13
-6	-6	9	-24
10	-2	9	12
3	0	8	1
4	-4	-8	15
4	4	1	14
-10	-7	-2	-22
-4	-10	4	-19
-5	1	10	-16
8	10	-7	36
6	8	4	19
-7	7	6	-10
-5	-1	-5	-3
-10	7	7	-17
-6	-10	-3	-16
2	-4	-10	13
2	1	2	6
-8	9	1	-5
-9	-5	-4	-16
-1	2	-7	10
-3	4	-7	8
8	6	-4	29
2	5	-1	13
10	9	2	30
5	-3	-4	14
-9	1	-4	-10
-3	4	1	0
-2	-5	-10	4
0	6	-10	19
8	1	-7	27
-9	-6	3	-24
-6	7	6	-8
2	-1	-3	9
10	-9	-2	16
2	7	10	4
-10	-10	-8	-19
4	-9	8	-6
2	2	2	7
-10	3	-5	-9
7	1	7	11
3	6	-10	25
2	6	-1	14
9	-3	-2	20
-5	-2	-7	-2
-3	-2	0	-5
6	-6	0	9
2	6	1	12
-8	-7	6	-26
9	6	-7	34
-3	0	10	-13
-10	1	-4	-12
-2	8	3	4
-3	-2	4	-9
-2	-8	-6	-3
1	-3	-4	6
-1	0	-2	3
5	-3	-9	19
-8	7	5	-11
-6	-9	9	-27
10	4	-2	29
4	-8	7	-4
-8	-1	-6	-8
7	5	5	17
6	10	-8	33
-10	-4	-9	-12
5	0	7	6
0	0	-3	6
1	-4	-3	4
10	-7	-9	25
3	5	-5	19
7	0	9	8
-5	4	2	-5
8	3	5	17
0	-1	-7	9
-8	-8	-5	-16
-10	5	4	-16
5	-3	10	0
-2	-7	-2	-6
-5	7	3	-3
4	7	-2	20
7	-2	-10	25
-8	-1	-3	-11
8	2	1	20
6	-8	-10	17
-10	-3	-2	-18
-6	-7	-6	-10
-8	8	-10	5
2	-4	-10	13
-10	-8	3	-28
6	-1	-1	15
-9	5	-5	-5
10	1	5	19
8	-8	3	8
4	-1	5	5
-4	7	-3	5
3	9	-6	24
-2	8	-2	9
9	9	-3	33
-3	-2	-9	4
-1	5	6	0
7	-7	-1	11
2	6	-1	14
-9	4	-7	-4
-6	7	9	-11
-6	6	-1	-2
4	-6	-2	7
